"ONSConstID","ConstituencyName","RegionID","RegionName","NationID","NationName","pop0.17","pct0.17","pop18.24","pct18.24","pop25.34","pct25.34","pop35.49","pct35.49","pop50.64","pct50.64","pop65.up","pct65.up"
"E14001063","Aldershot","E12000008","South East","K04000001","England and Wales",24886,0.208677132,9094,0.076256121,18455,0.154751124,25101,0.210479976,22246,0.186539881,19474,0.163295767
"E14001064","Aldridge-Brownhills","E12000005","West Midlands","K04000001","England and Wales",18890,0.201557832,6216,0.066325224,10662,0.113764405,16439,0.175405463,19932,0.212676056,21581,0.23027102
"E14001065","Altrincham and Sale West","E12000002","North West","K04000001","England and Wales",24252,0.239473892,5768,0.056955526,9853,0.09729244,21878,0.216032072,19994,0.197428707,19527,0.192817363
"E14001066","Amber Valley","E12000004","East Midlands","K04000001","England and Wales",17151,0.188902228,5903,0.065016025,11351,0.125020651,16034,0.176599518,20167,0.222120648,20187,0.222340929
"E14001067","Arundel and South Downs","E12000008","South East","K04000001","England and Wales",17513,0.178607488,5375,0.054817293,7866,0.080221921,15375,0.156802954,22996,0.234526226,28928,0.29502412
"E14001068","Ashfield","E12000004","East Midlands","K04000001","England and Wales",19784,0.206334804,6549,0.068301993,12241,0.12766601,17508,0.182597541,20272,0.21142434,19529,0.203675313
"E14001069","Ashford","E12000008","South East","K04000001","England and Wales",24953,0.229659831,7442,0.068493907,14790,0.136122667,21791,0.200557744,21211,0.1952196,18465,0.16994625
"E14001070","Ashton-under-Lyne","E12000002","North West","K04000001","England and Wales",23388,0.231871989,7396,0.073325005,14231,0.141088176,19617,0.194485753,19808,0.196379355,16426,0.162849721
"E14001071","Aylesbury","E12000008","South East","K04000001","England and Wales",25480,0.229508197,7451,0.067114034,15326,0.138047199,23792,0.214303729,21636,0.194883805,17335,0.156143037
"E14001072","Banbury","E12000008","South East","K04000001","England and Wales",21903,0.211441369,6614,0.063848478,13507,0.130390292,20367,0.19661354,20894,0.201700953,20304,0.196005367
"E14001073","Barking","E12000007","London","K04000001","England and Wales",39663,0.294977726,11926,0.088694863,20415,0.151828411,31723,0.235927146,20554,0.152862168,10180,0.075709685
"E14001074","Barnsley North","E12000003","Yorkshire and The Humber","K04000001","England and Wales",21822,0.207271898,7202,0.068406755,14851,0.14105925,19068,0.181113581,22238,0.211223191,20101,0.190925324
"E14001075","Barnsley South","E12000003","Yorkshire and The Humber","K04000001","England and Wales",22138,0.209697739,7442,0.070492844,15040,0.142463366,19198,0.181849182,22079,0.209138873,19674,0.186357996
"E14001076","Barrow and Furness","E12000002","North West","K04000001","England and Wales",17967,0.184743044,6633,0.06820285,11973,0.123110618,16278,0.167376149,21767,0.223815987,22636,0.232751352
"E14001077","Basildon and Billericay","E12000006","East of England","K04000001","England and Wales",26485,0.243768868,7656,0.070466092,14568,0.134084383,21671,0.199460644,20284,0.186694647,17984,0.165525366
"E14001078","Basingstoke","E12000008","South East","K04000001","England and Wales",23793,0.213109174,7717,0.069119636,16798,0.150456349,24419,0.218716132,21423,0.191881555,17497,0.156717153
"E14001079","Bassetlaw","E12000004","East Midlands","K04000001","England and Wales",20998,0.197967342,6708,0.063242448,13457,0.126871441,18829,0.177518196,23153,0.218284497,22923,0.216116076
"E14001080","Bath","E12000009","South West","K04000001","England and Wales",17260,0.166319766,20601,0.198514107,12912,0.124421832,17183,0.165577783,18062,0.174047949,17758,0.171118563
"E14001081","Battersea","E12000007","London","K04000001","England and Wales",18358,0.16650039,9736,0.088301983,33524,0.3040505,23688,0.214841553,15306,0.138819859,9646,0.087485715
"E14001082","Beaconsfield","E12000008","South East","K04000001","England and Wales",20633,0.212149254,5452,0.056057662,10091,0.103756028,18823,0.193538768,20850,0.214380456,21408,0.220117832
"E14001083","Beckenham and Penge","E12000007","London","K04000001","England and Wales",22473,0.210291393,6003,0.056173151,14367,0.134439391,26010,0.243388917,21054,0.197013082,16959,0.158694065
"E14001084","Bedford","E12000006","East of England","K04000001","England and Wales",24422,0.220747878,8597,0.077707375,15840,0.143176087,23480,0.21223324,20511,0.185396762,17783,0.160738658
"E14001085","Bermondsey and Old Southwark","E12000007","London","K04000001","England and Wales",16858,0.154064082,15170,0.138637568,30148,0.275520462,23540,0.215130413,15994,0.146168047,7712,0.070479428
"E14001086","Bethnal Green and Stepney","E12000007","London","K04000001","England and Wales",26419,0.198724265,21431,0.161204426,35141,0.26433133,27487,0.206757783,14280,0.107414456,8185,0.06156774
"E14001087","Beverley and Holderness","E12000003","Yorkshire and The Humber","K04000001","England and Wales",15565,0.172474929,5625,0.062330323,8557,0.094819658,14425,0.159842651,21382,0.236932794,24691,0.273599645
"E14001088","Bexhill and Battle","E12000008","South East","K04000001","England and Wales",15036,0.166439744,5053,0.055933761,7989,0.088433567,12775,0.141411793,20242,0.224067125,29244,0.323714011
"E14001089","Bexleyheath and Crayford","E12000007","London","K04000001","England and Wales",22924,0.230435963,7228,0.07265709,12549,0.126144691,20602,0.207094822,19264,0.193645018,16914,0.170022416
"E14001090","Bicester and Woodstock","E12000008","South East","K04000001","England and Wales",21411,0.208094002,6236,0.060607828,13561,0.131799671,21584,0.209775393,20787,0.202029332,19312,0.187693773
"E14001091","Birkenhead","E12000002","North West","K04000001","England and Wales",23111,0.217451849,7884,0.07418071,13818,0.130013831,19781,0.186119814,21967,0.206687931,19720,0.185545864
"E14001092","Birmingham Edgbaston","E12000005","West Midlands","K04000001","England and Wales",24010,0.221985947,13394,0.123835059,16225,0.150009246,20872,0.192973373,17512,0.161908284,16147,0.149288092
"E14001093","Birmingham Erdington","E12000005","West Midlands","K04000001","England and Wales",30133,0.244910068,10671,0.086730008,18010,0.146378732,24130,0.196119866,22835,0.185594577,17258,0.140266749
"E14001094","Birmingham Hall Green and Moseley","E12000005","West Midlands","K04000001","England and Wales",31284,0.264625275,12205,0.103239723,17384,0.147047877,24722,0.209118592,18260,0.154457791,14365,0.121510743
"E14001095","Birmingham Hodge Hill and Solihull North","E12000005","West Midlands","K04000001","England and Wales",35568,0.288745829,12333,0.10012096,16933,0.137464382,23141,0.187861764,19712,0.160024679,15494,0.125782385
"E14001096","Birmingham Ladywood","E12000005","West Midlands","K04000001","England and Wales",39962,0.25482719,28593,0.18233006,31353,0.199929856,30237,0.192813417,17580,0.112103048,9095,0.057996429
"E14001097","Birmingham Northfield","E12000005","West Midlands","K04000001","England and Wales",26309,0.243437306,8479,0.078456229,14776,0.136722401,20658,0.191148575,19694,0.182228679,18157,0.16800681
"E14001098","Birmingham Perry Barr","E12000005","West Midlands","K04000001","England and Wales",33091,0.269336893,13317,0.108390783,18015,0.146629117,25251,0.205524943,19723,0.160531007,13464,0.109587257
"E14001099","Birmingham Selly Oak","E12000005","West Midlands","K04000001","England and Wales",21949,0.199765186,22062,0.200793636,14323,0.130358411,18961,0.172570399,17255,0.157043523,15324,0.139468846
"E14001100","Birmingham Yardley","E12000005","West Midlands","K04000001","England and Wales",31357,0.274351459,11382,0.099584409,16362,0.143155869,22406,0.196036572,18509,0.161940592,14279,0.124931099
"E14001101","Bishop Auckland","E12000001","North East","K04000001","England and Wales",17412,0.18733055,6459,0.069490468,9502,0.102229203,15205,0.163586091,21520,0.231527306,22850,0.245836382
"E14001102","Blackburn","E12000002","North West","K04000001","England and Wales",31228,0.274942772,10521,0.092630745,15170,0.133562247,23016,0.20264131,18552,0.163338616,15093,0.132884311
"E14001103","Blackley and Middleton South","E12000002","North West","K04000001","England and Wales",30186,0.270002415,9223,0.082496266,15193,0.13589567,22637,0.20247945,19491,0.174339663,15069,0.134786537
"E14001104","Blackpool North and Fleetwood","E12000002","North West","K04000001","England and Wales",17252,0.17982447,5942,0.061935834,10251,0.106850257,15223,0.158675395,21634,0.225499802,25636,0.267214243
"E14001105","Blackpool South","E12000002","North West","K04000001","England and Wales",22858,0.207660301,7972,0.072424006,14551,0.132192888,19877,0.18057852,23990,0.217944292,20826,0.189199993
"E14001106","Blaydon and Consett","E12000001","North East","K04000001","England and Wales",17834,0.19342943,5922,0.064230632,11011,0.119426458,17041,0.184828469,20131,0.218342932,20260,0.21974208
"E14001107","Blyth and Ashington","E12000001","North East","K04000001","England and Wales",20850,0.203672951,7164,0.06998144,12796,0.124997558,17789,0.173771613,22002,0.214926248,21769,0.21265019
"E14001108","Bognor Regis and Littlehampton","E12000008","South East","K04000001","England and Wales",19060,0.177308923,6847,0.063695393,11979,0.111436705,17938,0.166871325,22132,0.205886731,29540,0.274800923
"E14001109","Bolsover","E12000004","East Midlands","K04000001","England and Wales",19674,0.192944776,6566,0.064393382,13821,0.135543852,17979,0.176321751,22633,0.221963969,21294,0.208832269
"E14001110","Bolton North East","E12000002","North West","K04000001","England and Wales",27075,0.235191411,9009,0.07825815,14576,0.126616805,21999,0.191097907,21472,0.186520036,20988,0.182315691
"E14001111","Bolton South and Walkden","E12000002","North West","K04000001","England and Wales",34314,0.27405816,10702,0.085474454,18375,0.14675697,24414,0.194989098,20931,0.167171165,16471,0.131550153
"E14001112","Bolton West","E12000002","North West","K04000001","England and Wales",21369,0.215665496,6645,0.067064309,11829,0.119383553,18868,0.190424286,20412,0.206007024,19961,0.201455331
"E14001113","Bootle","E12000002","North West","K04000001","England and Wales",21501,0.211397221,7407,0.072825414,13975,0.137401803,19256,0.189324445,21813,0.214464797,17757,0.17458632
"E14001114","Boston and Skegness","E12000004","East Midlands","K04000001","England and Wales",22430,0.191591499,7462,0.063738554,12907,0.110248394,19808,0.169195025,25757,0.220009908,28708,0.245216619
"E14001115","Bournemouth East","E12000009","South West","K04000001","England and Wales",20779,0.194954215,8785,0.082423253,13600,0.127598889,23684,0.222209713,20261,0.190094198,19475,0.182719733
"E14001116","Bournemouth West","E12000009","South West","K04000001","England and Wales",18365,0.168009953,17553,0.160581471,15525,0.142028561,20060,0.183516453,18432,0.168622895,19374,0.177240666
