"ONSConstID","ConstituencyName","RegionID","RegionName","asian","black","mixed","white","other"
"E14001063","Aldershot","E12000008","South East",0.132776973,0.023673678,0.025002129,0.793340407,0.025002129
"E14001064","Aldridge-Brownhills","E12000005","West Midlands",0.086983462,0.020768344,0.024026751,0.853638852,0.024026751
"E14001065","Altrincham & Sale West","E12000002","North West",0.120814879,0.016517543,0.032182951,0.805613858,0.032182951
"E14001066","Amber Valley","E12000004","East Midlands",0.008037239,0.002612322,0.010672572,0.976839643,0.010672572
"E14001067","Arundel & South Downs","E12000008","South East",0.010135964,0.003406357,0.014725706,0.967862856,0.014725706
"E14001068","Ashfield","E12000004","East Midlands",0.014796293,0.009713643,0.013660138,0.95738806,0.013660138
"E14001069","Ashford","E12000008","South East",0.069689934,0.029780182,0.023573248,0.860152343,0.023573248
"E14001070","Ashton-under-Lyne","E12000002","North West",0.136308202,0.032627601,0.02405086,0.794948342,0.02405086
"E14001071","Aylesbury","E12000008","South East",0.128860752,0.036321448,0.035289173,0.784702641,0.035289173
"E14001072","Banbury","E12000008","South East",0.054290855,0.014828946,0.024082288,0.897052894,0.024082288
"E14001073","Barking","E12000007","London",0.280601722,0.216722963,0.043208586,0.422842099,0.043208586
"E14001074","Barnsley North","E12000003","Yorkshire and The Humber",0.010038271,0.007195979,0.009186428,0.967732675,0.009186428
"E14001075","Barnsley South","E12000003","Yorkshire and The Humber",0.008382467,0.008000712,0.009698368,0.967853712,0.009698368
"E14001076","Barrow & Furness","E12000002","North West",0.011946913,0.002956169,0.008108802,0.973784575,0.008108802
"E14001077","Basildon & Billericay","E12000006","East of England",0.040868809,0.050850122,0.027390798,0.872084238,0.027390798
"E14001078","Basingstoke","E12000008","South East",0.076855959,0.023903876,0.028621028,0.855958807,0.028621028
"E14001079","Bassetlaw","E12000004","East Midlands",0.013003388,0.006612093,0.012302908,0.962736591,0.012302908
"E14001080","Bath","E12000009","South West",0.051341139,0.014041186,0.036479743,0.884916499,0.036479743
"E14001081","Battersea","E12000007","London",0.090929127,0.123611086,0.063913019,0.679002797,0.063913019
"E14001082","Beaconsfield","E12000008","South East",0.130001244,0.016066172,0.034671835,0.795907791,0.034671835
"E14001083","Beckenham & Penge","E12000007","London",0.069650673,0.105647277,0.06940802,0.727902648,0.06940802
"E14001084","Bedford","E12000006","East of England",0.168011058,0.066422342,0.048525413,0.692987641,0.048525413
"E14001085","Bermondsey & Old Southwark","E12000007","London",0.131729487,0.181869932,0.067227205,0.559887353,0.067227205
"E14001086","Bethnal Green & Stepney","E12000007","London",0.494233015,0.065369686,0.044818392,0.35727663,0.044818392
"E14001087","Beverley & Holderness","E12000003","Yorkshire and The Humber",0.008860883,0.002458419,0.008167597,0.977899649,0.008167597
"E14001088","Bexhill & Battle","E12000008","South East",0.014869765,0.005723772,0.018000427,0.956267489,0.018000427
"E14001089","Bexleyheath & Crayford","E12000007","London",0.100566587,0.109729275,0.03327556,0.731808921,0.03327556
