"ONSConstID","ConstituencyName","RegionID","RegionName","Qual1_num","Qual1_pct","Qual2_num","Qual2_pct","Qual3_num","Qual3_pct","Qual4_num","Qual4_pct","Qual5_num","Qual5_pct"
"E14001063","Aldershot","E12000008","South East",16899,0.176655063,25113,0.262520776,5468,0.05716018,16630,0.17384305,28644,0.299432371
"E14001064","Aldridge-Brownhills","E12000005","West Midlands",16880,0.219354671,19157,0.24894416,4628,0.060140605,13261,0.172325965,20894,0.27151638
"E14001065","Altrincham and Sale West","E12000002","North West",9131,0.114933414,15421,0.194106688,3460,0.043551595,11217,0.141190242,38655,0.486556907
"E14001066","Amber Valley","E12000004","East Midlands",16267,0.216873092,19653,0.262015545,5274,0.070313437,13791,0.183862839,18245,0.243243964
"E14001067","Arundel and South Downs","E12000008","South East",11551,0.141281082,19654,0.240389437,4057,0.049621448,13851,0.169412542,30616,0.37446642
"E14001068","Ashfield","E12000004","East Midlands",18905,0.244092963,21686,0.28,5169,0.066739832,13585,0.175403486,16126,0.20821175
"E14001069","Ashford","E12000008","South East",14736,0.173628212,23189,0.273226426,4650,0.054789033,14875,0.175265992,24933,0.293775259
"E14001070","Ashton-under-Lyne","E12000002","North West",18571,0.233741551,21170,0.266453538,5407,0.068054524,13337,0.16786447,18673,0.235025362
"E14001071","Aylesbury","E12000008","South East",13635,0.156639517,21634,0.248532402,4668,0.053626202,14702,0.168897262,30140,0.346249727
"E14001072","Banbury","E12000008","South East",14032,0.169655056,19984,0.241618204,4501,0.054419712,13088,0.158241546,28801,0.348220871
"E14001073","Barking","E12000007","London",21948,0.222996657,22255,0.226115847,3620,0.036780021,13293,0.135059895,33598,0.341363299
"E14001074","Barnsley North","E12000003","Yorkshire and the Humber",21854,0.256276752,21751,0.255068895,5465,0.064086778,14569,0.170847259,19357,0.226995016
"E14001075","Barnsley South","E12000003","Yorkshire and the Humber",23322,0.273725969,22429,0.263244995,5890,0.069129833,14072,0.165160442,17204,0.201920143
"E14001076","Barrow and Furness","E12000002","North West",14312,0.175948465,18341,0.225480072,8246,0.101374444,16092,0.197831379,22520,0.276855745
"E14001077","Basildon and Billericay","E12000006","Eastern",17142,0.202650463,24939,0.294825568,4404,0.052063507,14250,0.16846162,21615,0.255529679
"E14001078","Basingstoke","E12000008","South East",13848,0.155837141,23289,0.262080529,4515,0.05080912,16068,0.180819698,28701,0.322983953
"E14001079","Bassetlaw","E12000004","East Midlands",18847,0.219508502,22341,0.260202656,5794,0.067481947,14861,0.17308409,21354,0.248707198
"E14001080","Bath","E12000009","South West",8592,0.098463231,13251,0.151854781,2993,0.034299401,21126,0.242101282,39493,0.452584774
"E14001081","Battersea","E12000007","London",8491,0.092372798,9926,0.10798403,1633,0.017765255,9824,0.106874381,59952,0.652212226
"E14001082","Beaconsfield","E12000008","South East",10810,0.137963601,16693,0.213045919,3793,0.048408505,11770,0.150215688,33381,0.426028027
"E14001083","Beckenham and Penge","E12000007","London",10548,0.121223265,16894,0.194154896,2936,0.033742085,12208,0.140300875,42315,0.486306644
"E14001084","Bedford","E12000006","Eastern",17480,0.197585568,21367,0.241522358,4925,0.055669847,13382,0.151263734,28326,0.320183569
"E14001085","Bermondsey and Old Southwark","E12000007","London",11569,0.125552119,11547,0.125313365,2165,0.023495578,12092,0.131227956,52463,0.569352651
"E14001086","Bethnal Green and Stepney","E12000007","London",18715,0.18146647,16661,0.161550246,2291,0.02221425,14731,0.142836365,47642,0.461951674
"E14001087","Beverley and Holderness","E12000003","Yorkshire and the Humber",12970,0.170830973,18006,0.237161335,5541,0.072981837,13293,0.175085284,24042,0.316662935
"E14001088","Bexhill and Battle","E12000008","South East",14047,0.18485327,19646,0.258534018,4625,0.060863271,12694,0.167048296,22612,0.297565469
"E14001089","Bexleyheath and Crayford","E12000007","London",14605,0.18640001,20509,0.261751305,4252,0.054267227,12813,0.163529157,23907,0.30511914
"E14001090","Bicester and Woodstock","E12000008","South East",11634,0.141139647,19017,0.230707639,4617,0.05601184,12970,0.157347535,32075,0.38912276
"E14001091","Birkenhead","E12000002","North West",17507,0.205679175,21418,0.251627152,5197,0.061056416,15183,0.178375902,23798,0.279588336
"E14001092","Birmingham Edgbaston","E12000005","West Midlands",16574,0.189994727,16268,0.18648692,2820,0.032326845,14957,0.171458376,34230,0.392392874
"E14001093","Birmingham Erdington","E12000005","West Midlands",25244,0.265723519,24062,0.253281544,4683,0.049294218,15227,0.160282523,22968,0.241765876
"E14001094","Birmingham Hall Green and Moseley","E12000005","West Midlands",22344,0.249854632,19780,0.221183522,2303,0.025752561,12910,0.144361945,29562,0.330567607
"E14001095","Birmingham Hodge Hill and Solihull North","E12000005","West Midlands",26717,0.29495148,24601,0.271591173,3726,0.041134454,14207,0.156843047,18522,0.204479968
"E14001096","Birmingham Ladywood","E12000005","West Midlands",28735,0.245795768,23231,0.198715207,2865,0.024506869,21431,0.183318221,36920,0.315809283
"E14001097","Birmingham Northfield","E12000005","West Midlands",19679,0.234053688,21184,0.25195352,4055,0.048228452,13915,0.165499114,23046,0.274099359
"E14001098","Birmingham Perry Barr","E12000005","West Midlands",26775,0.289043861,22333,0.241091187,3197,0.034512539,14014,0.151285179,23071,0.249058111
"E14001099","Birmingham Selly Oak","E12000005","West Midlands",15799,0.178372642,16606,0.187483771,2955,0.033362311,22435,0.253293893,28762,0.324726497
"E14001100","Birmingham Yardley","E12000005","West Midlands",23702,0.276601704,22063,0.257474618,3270,0.038160812,13641,0.159190104,20194,0.235663438
"E14001101","Bishop Auckland","E12000001","North East",17310,0.225549214,18737,0.244143017,5349,0.069697444,13755,0.179227582,19769,0.257589972
"E14001102","Blackburn","E12000002","North West",22686,0.266862722,21005,0.247088578,4227,0.049723562,12687,0.149241266,21602,0.254111281
"E14001103","Blackley and Middleton South","E12000002","North West",21389,0.255448997,19972,0.238525755,4589,0.054806464,12453,0.148726278,22680,0.270867421
"E14001104","Blackpool North and Fleetwood","E12000002","North West",17627,0.220873117,21001,0.26315064,5738,0.071899356,13950,0.174798887,19336,0.242287547
"E14001105","Blackpool South","E12000002","North West",22556,0.251926642,24090,0.269059798,5904,0.06594143,14778,0.165054616,19801,0.221156209
"E14001106","Blaydon and Consett","E12000001","North East",14022,0.18523607,18165,0.23996671,5304,0.070067901,14149,0.186913789,22072,0.291579698
"E14001107","Blyth and Ashington","E12000001","North East",18056,0.21718891,22089,0.265700367,6144,0.073903891,16046,0.193011367,18779,0.225885608
"E14001108","Bognor Regis and Littlehampton","E12000008","South East",18485,0.205092644,24646,0.273449462,6065,0.06729169,15486,0.171818484,22378,0.248285809
"E14001109","Bolsover","E12000004","East Midlands",19871,0.239982126,22023,0.265971836,5601,0.067643294,14703,0.177568175,18392,0.222120239
"E14001110","Bolton North East","E12000002","North West",20405,0.226319876,22621,0.250898403,5776,0.064063886,14994,0.166304348,23856,0.264596273
"E14001111","Bolton South and Walkden","E12000002","North West",24679,0.264189522,23826,0.255058129,5397,0.057775066,14594,0.156229259,21984,0.235339457
"E14001112","Bolton West","E12000002","North West",14031,0.17664388,18340,0.23089222,5227,0.065805542,13685,0.172287898,26257,0.330563634
"E14001113","Bootle","E12000002","North West",20046,0.243076102,21558,0.261410486,4636,0.056215744,14513,0.175983412,19765,0.23966872
"E14001114","Boston and Skegness","E12000004","East Midlands",28152,0.291160318,26199,0.270961537,6976,0.072148848,13930,0.144070163,17486,0.180847873
"E14001115","Bournemouth East","E12000009","South West",13332,0.151072533,20378,0.230914798,4891,0.055422724,16132,0.182800938,30871,0.349816995
"E14001116","Bournemouth West","E12000009","South West",14428,0.158028478,20245,0.221741512,5062,0.055443593,20833,0.228181818,28103,0.307809419
"E14001117","Bracknell","E12000008","South East",11041,0.13555722,21580,0.264951073,4276,0.05249911,14518,0.17824651,27852,0.341956316
"E14001118","Bradford East","E12000003","Yorkshire and the Humber",25368,0.288932676,22955,0.261449447,4268,0.048611032,13046,0.148589392,19228,0.219000216
"E14001119","Bradford South","E12000003","Yorkshire and the Humber",21242,0.254572038,22252,0.266676254,5147,0.061683565,13526,0.162100621,18883,0.226300904
"E14001120","Bradford West","E12000003","Yorkshire and the Humber",26300,0.290267753,21718,0.23969715,3580,0.039511732,12949,0.14291548,22918,0.252941306
"E14001121","Braintree","E12000006","Eastern",15257,0.179555378,24974,0.293912041,5053,0.059467348,15400,0.181238305,21963,0.258476421
"E14001122","Brent East","E12000007","London",24009,0.223212875,20093,0.186805627,4102,0.038136499,13685,0.12723013,41517,0.385985627
"E14001123","Brent West","E12000007","London",24608,0.224995657,20555,0.187938301,3538,0.032348612,13464,0.123103931,42293,0.386692999
"E14001124","Brentford and Isleworth","E12000007","London",17210,0.16804015,18709,0.182676534,3671,0.035844009,12764,0.124628964,45984,0.448992345
"E14001125","Brentwood and Ongar","E12000006","Eastern",13187,0.164594723,20582,0.256896079,4022,0.050200954,13630,0.170124067,26552,0.331411169
"E14001126","Bridgwater","E12000009","South West",16977,0.20800049,22506,0.27574124,5769,0.070681206,14727,0.180433717,19152,0.23464837
"E14001127","Bridlington and The Wolds","E12000003","Yorkshire and the Humber",17317,0.219962656,19829,0.251870388,5900,0.074942523,12897,0.163819274,20400,0.2591233
"E14001128","Brigg and Immingham","E12000003","Yorkshire and the Humber",15223,0.200413386,19701,0.259367019,5428,0.071460544,13529,0.178111588,19830,0.261065326
