"date","mjd","trans"
2013-01-03,56295,0.277731146255065
2013-01-04,56296,NA
2013-01-05,56297,0.309208164640205
2013-01-06,56298,NA
2013-01-07,56299,NA
2013-01-08,56300,NA
2013-01-09,56301,NA
2013-01-10,56302,0.310172500296487
2013-01-11,56303,0.304478325875143
2013-01-12,56304,NA
2013-01-13,56305,0.309430718574222
2013-01-14,56306,0.307920217935002
2013-01-15,56307,NA
2013-01-16,56308,0.298516287411325
2013-01-17,56309,NA
2013-01-18,56310,0.301427073210863
2013-01-19,56311,0.298572510113425
2013-01-20,56312,0.324561505346839
2013-01-21,56313,0.313419970044481
2013-01-22,56314,NA
2013-01-23,56315,NA
2013-01-24,56316,0.324436957751614
2013-01-25,56317,0.317087110255326
2013-01-26,56318,NA
2013-01-27,56319,NA
2013-01-28,56320,0.318002792031286
2013-01-29,56321,0.31132242796446
2013-01-30,56322,0.32362876356393
2013-01-31,56323,0.322069766287112
2013-02-01,56324,0.329829345166545
2013-02-02,56325,0.32395011020409
2013-02-03,56326,0.325835010361514
2013-02-04,56327,0.322486146529548
2013-02-05,56328,0.289974809445189
2013-02-06,56329,NA
2013-02-07,56330,NA
2013-02-08,56331,NA
2013-02-09,56332,0.32484795338828
2013-02-10,56333,0.325823733744605
2013-02-11,56334,0.323339752949973
2013-02-12,56335,0.327853045708633
2013-02-13,56336,NA
2013-02-14,56337,NA
2013-02-15,56338,0.32359817621179
2013-02-16,56339,0.315624927869765
2013-02-17,56340,NA
2013-02-18,56341,NA
2013-02-19,56342,NA
2013-02-20,56343,NA
2013-02-21,56344,0.321613026859726
2013-02-22,56345,0.31710855913566
2013-02-23,56346,0.318897694147751
2013-02-24,56347,NA
2013-02-25,56348,0.312558460547811
2013-02-26,56349,0.324402126217333
2013-02-27,56350,NA
2013-02-28,56351,NA
2013-03-01,56352,NA
2013-03-02,56353,NA
2013-03-03,56354,NA
2013-03-04,56355,NA
2013-03-05,56356,NA
2013-03-06,56357,NA
2013-03-07,56358,NA
2013-03-08,56359,NA
2013-03-09,56360,NA
2013-03-10,56361,NA
2013-03-11,56362,0.307518093793818
2013-03-12,56363,0.293517504216884
2013-03-13,56364,NA
2013-03-14,56365,NA
2013-03-15,56366,NA
